"index_in_split"	"public_essay_id"	"public_prompt_id"	"public_user_id"	"L1"	"version"	"split"	"noop"	"n.edits"	"auto_cefr"	"human_cefr"
0	"essay_28aba35720851372"	"prompt_e4c497f7613dcf8a"	"user_e48ee201eb41c367"	"Portuguese"	"final"	"train"	FALSE	36	"B2+"	"B1+"
1	"essay_39e931900d165aff"	"prompt_98e191fa5bded725"	"user_988d09923a575616"	"Hindi"	"final"	"train"	FALSE	7	"B1"	"A2+"
2	"essay_2932ebd5446803c9"	"prompt_49f744b86a7de069"	"user_49e44929bd7f9a27"	"Polish"	"final"	"train"	FALSE	22	"B2"	"B1"
3	"essay_2ae41ea2a3873e11"	"prompt_e3b16d9c3c7b3cc8"	"user_49e44929bd7f9a27"	"Polish"	"final"	"train"	FALSE	11	"B1+"	"B1"
4	"essay_3924361a6a6c82d3"	"prompt_91626718bd3e657e"	"user_e3ffa19b436699ce"	"Dutch"	"final"	"train"	FALSE	2	"A2+"	"A2+"
5	"essay_d59a4f41ff595cb0"	"prompt_79d7b6720d30aa96"	"user_e3ffa19b436699ce"	"Dutch"	"final"	"train"	FALSE	5	"B1"	"A2+"
6	"essay_d6e366fddcd50ef1"	"prompt_30d627bea13ce859"	"user_9159ca84cf063690"	"Polish"	"final"	"train"	FALSE	32	"C1+"	"C1"
7	"essay_71ffa1da16401aab"	"prompt_7fb0941f7b739572"	"user_e3ffa19b436699ce"	"Dutch"	"final"	"train"	FALSE	3	"A2+"	"A2"
8	"essay_85aab591f08b6a4b"	"prompt_2ef4e350c1009968"	"user_49e44929bd7f9a27"	"Polish"	"final"	"train"	FALSE	13	"B1"	"B1"
9	"essay_66c77a40d2fc3b72"	"prompt_4671630d1fa03592"	"user_e3ffa19b436699ce"	"Dutch"	"final"	"train"	TRUE	0	"A2+"	"A2"
10	"essay_22bfdcb756f788f3"	"prompt_2ef4e350c1009968"	"user_309b69e23ff98c19"	"Dutch"	"final"	"train"	FALSE	7	"B1"	"A2+"
11	"essay_5143ef76501d805f"	"prompt_6305e66e9a1bd3db"	"user_e3ffa19b436699ce"	"Dutch"	"final"	"train"	FALSE	5	"B1"	"A2+"
12	"essay_703fc9e390cfade2"	"prompt_e4c497f7613dcf8a"	"user_49e44929bd7f9a27"	"Polish"	"final"	"train"	FALSE	32	"B1+"	"B1+"
13	"essay_44c7cbaba7eab557"	"prompt_58852905890136d4"	"user_49e44929bd7f9a27"	"Polish"	"final"	"train"	FALSE	37	"B1+"	"B2"
14	"essay_6d196e87bbadfef0"	"prompt_179938ed5e90b50a"	"user_79b0f40c5e557095"	"Japanese"	"final"	"train"	FALSE	18	"C1"	"B1+"
15	"essay_35b77e5826f71595"	"prompt_9975b4bd24cfacd8"	"user_49e44929bd7f9a27"	"Polish"	"final"	"train"	FALSE	32	"B1"	"B1+"
16	"essay_1cc8312707c22951"	"prompt_91626718bd3e657e"	"user_1775c1f82609017a"	"Vietnamese"	"final"	"train"	FALSE	21	"A2+"	"A2+"
17	"essay_541015a078cd2a40"	"prompt_40037060180c75db"	"user_4610dee3b9717c88"	"Spanish"	"final"	"train"	FALSE	3	"B1"	"A2+"
18	"essay_aa7170dcd989688d"	"prompt_a48191f7b89e3523"	"user_79b0f40c5e557095"	"Japanese"	"final"	"train"	FALSE	10	"C1"	"B1+"
19	"essay_f8e74a20c7f848b8"	"prompt_13020c2a757e39d5"	"user_2e3a93eb5b9339be"	"Arabic"	"final"	"train"	FALSE	28	"B1+"	"B1+"
20	"essay_6fd3523f6e8248a7"	"prompt_719435a48902a4b5"	"user_49e44929bd7f9a27"	"Polish"	"final"	"train"	FALSE	9	"A2+"	"B1"
21	"essay_b659468378981cc2"	"prompt_79d7b6720d30aa96"	"user_1775c1f82609017a"	"Vietnamese"	"final"	"train"	FALSE	23	"A2+"	"A1+"
22	"essay_84a2fe3358d6e561"	"prompt_7fb0941f7b739572"	"user_1775c1f82609017a"	"Vietnamese"	"final"	"train"	FALSE	18	"A2+"	"A1+"
23	"essay_8f3d527bf93cf216"	"prompt_40037060180c75db"	"user_1775c1f82609017a"	"Vietnamese"	"final"	"train"	FALSE	20	"A2"	"A1+"
24	"essay_2ada792b2eb71e29"	"prompt_a48191f7b89e3523"	"user_49e44929bd7f9a27"	"Polish"	"final"	"train"	FALSE	34	"B1"	"B2"
25	"essay_18037ddf1fa1c770"	"prompt_4671630d1fa03592"	"user_1775c1f82609017a"	"Vietnamese"	"final"	"train"	FALSE	10	"A2"	"A2"
