"question_id"	"public_prompt_id"	"n.essay.sets"	"n.essays"	"topic"	"genre"	"min_words"	"max_words"	"prompt_level"	"prompt"
"5c066194-0290-4acf-adc8-e92259f75abc"	"prompt_7fb0941f7b739572"	104	542	"Birthdays in your country"	"An email"	50	200	"Beginner"	"You receive this email from your English pen friend: Hi, It was my birthday on Saturday. I went with my family to a restaurant. After the meal they all sang Happy Birthday to me and we had a cake with candles. What do people do to celebrate birthdays in your country? Is it the same or different? Write soon! Jack Write an email to your friend."
"5d554291-d9ac-4055-b583-976169946301"	"prompt_91626718bd3e657e"	104	432	"A new school year"	"An email"	50	120	"Beginner"	"You receive this email from your English pen friend, Matt. _Hi there,_ _It is the end of the holidays and we will start school again on Monday. In this new school year, I need to work very hard because I will have exams. I must improve in Maths and History. And you? You said you want to improve your English. What will you do to improve it? Good luck!_ _Matt_ Write to Matt and tell him what you will do to improve your English in this new school year."
"5d553a27-c049-4cd6-9dbf-3adfa863c647"	"prompt_e4c497f7613dcf8a"	103	513	"A new school year"	"A report"	150	200	"Intermediate"	"It is the start of a new school year at your school. Your English teacher asks you to write a report about what you want to achieve in this new school year. You should write about: The areas of your learning you are pleased with. The areas of your learning you want to improve. What you will do to achieve your goals."
"5e6fb2b2-ae3e-43a7-8240-30f9626b19ec"	"prompt_029cb9051e09e186"	103	497	"about your free time"	"Write sentences to answer the questions"	50	100	"Beginner"	"* What do you do in your free time? How often do you do it? * What do you like about that activity and why? * Tell us about the last time you did this."
"5aeaca1c-3183-42ca-8202-6e08d96654c3"	"prompt_6e0152cf70e42a3a"	103	492	"A party"	"A note"	70	200	"Beginner"	"Your friend Leyla had a birthday party yesterday. Leyla invited you to the party but you couldn<U+2019>t go. Write a note to Leyla. In your note:<U+00A0><U+00A0><U+00A0><U+00A0> * tell her why you couldn<U+2019>t go to the party<U+00A0><U+00A0><U+00A0> * ask her what happened at the party<U+00A0><U+00A0><U+00A0> * invite her to do something with you next weekend.<U+00A0><U+00A0><U+00A0><U+00A0> Write about 70 words."
"5e8c83a3-69a8-47c7-a120-2b7cfa0d6b7e"	"prompt_9d22a5a9df98ce09"	103	487	"about having different teachers"	"Write paragraphs to answer the question"	150	300	"Intermediate"	"Some people believe that it is good for students to have the same teacher for several years. Others think students benefit more from having new teachers each year. Which do you think is better? Give specific reasons to support your opinion."
"5e6fb310-5c81-4880-89a1-d5b69937f66c"	"prompt_a16c7dd5b5c59b57"	103	483	"about exercise"	"Write sentences to answer the questions"	50	100	"Beginner"	"* Do you like to exercise? How often do you exercise? * When you exercise, do you prefer exercising at a gym or outside? Why? * Tell us about the kinds of activities you like to do for exercise."
"62c1cdb6-949a-4cf1-98b8-8d5efdac87fe"	"prompt_6c812937c853f95a"	103	471	"Not being able to go to a party"	"An email"	150	200	"Intermediate"	"Your friend Alex has invited you to a party this Saturday afternoon but you can<U+2019>t go. Write an email to Alex. In your email: * apologise to Alex * explain why you can<U+2019>t go * suggest another day when you could meet. Write your **email** in about **100 words.**"
"5c0665ca-6175-4f31-87d8-235fb09da279"	"prompt_79d7b6720d30aa96"	103	465	"My favourite film"	"An email"	50	90	"Beginner"	"Write an email to your English friend. In your email, tell your friend about your favourite film. What kind of film is it? What is it about? Do you think your friend would like the film?"
"5e6fb530-93da-4fca-bf17-e3284fa86b2d"	"prompt_394b6f53ecc6f98d"	103	461	"about video games"	"Write paragraphs to answer the question"	150	300	"Intermediate"	"Video games are very popular with children. However, some parents feel that video games can have a negative impact on their children, but others believe that they may have some positive effects. How do you feel about children playing video games? Give specific reasons and examples to support your opinion."
