"index_in_split"	"public_essay_id"	"public_prompt_id"	"public_user_id"	"L1"	"version"	"split"	"noop"	"n.edits"	"auto_cefr"	"human_cefr"
0	"essay_6e30e50c57dc93de"	"prompt_e4c497f7613dcf8a"	"user_e48ee201eb41c367"	"Portuguese"	"first"	"train"	FALSE	40	"B2"	NA
1	"essay_6cda25b444cd1bab"	"prompt_98e191fa5bded725"	"user_988d09923a575616"	"Hindi"	"first"	"train"	FALSE	13	"A2+"	NA
2	"essay_04e469fc9f4fe456"	"prompt_49f744b86a7de069"	"user_49e44929bd7f9a27"	"Polish"	"first"	"train"	FALSE	35	"B1+"	NA
3	"essay_170bd5f766572198"	"prompt_e3b16d9c3c7b3cc8"	"user_49e44929bd7f9a27"	"Polish"	"first"	"train"	FALSE	18	"A2+"	NA
4	"essay_8ee86cf9842fc05a"	"prompt_91626718bd3e657e"	"user_e3ffa19b436699ce"	"Dutch"	"first"	"train"	FALSE	6	"A2+"	NA
5	"essay_8721749cc8c0e1a8"	"prompt_79d7b6720d30aa96"	"user_e3ffa19b436699ce"	"Dutch"	"first"	"train"	FALSE	8	"B1"	NA
6	"essay_91e5e40aa9b514c3"	"prompt_30d627bea13ce859"	"user_9159ca84cf063690"	"Polish"	"first"	"train"	FALSE	29	"B2+"	NA
7	"essay_b0c09bafab1767ca"	"prompt_7fb0941f7b739572"	"user_e3ffa19b436699ce"	"Dutch"	"first"	"train"	FALSE	10	"A2"	NA
8	"essay_051799ef042a8854"	"prompt_2ef4e350c1009968"	"user_49e44929bd7f9a27"	"Polish"	"first"	"train"	FALSE	20	"A2+"	NA
9	"essay_b0884b4f8c49c6eb"	"prompt_4671630d1fa03592"	"user_e3ffa19b436699ce"	"Dutch"	"first"	"train"	FALSE	4	"A2+"	NA
10	"essay_ea5dcb1a9a183282"	"prompt_2ef4e350c1009968"	"user_309b69e23ff98c19"	"Dutch"	"first"	"train"	FALSE	13	"B1"	NA
11	"essay_81662d8b11da903a"	"prompt_6305e66e9a1bd3db"	"user_e3ffa19b436699ce"	"Dutch"	"first"	"train"	FALSE	6	"B1"	NA
12	"essay_9708283cdd04be93"	"prompt_e4c497f7613dcf8a"	"user_49e44929bd7f9a27"	"Polish"	"first"	"train"	FALSE	39	"B1+"	NA
13	"essay_91ff3300291ed4de"	"prompt_58852905890136d4"	"user_49e44929bd7f9a27"	"Polish"	"first"	"train"	FALSE	48	"B1"	NA
14	"essay_81a36ada2541e1ed"	"prompt_179938ed5e90b50a"	"user_79b0f40c5e557095"	"Japanese"	"first"	"train"	FALSE	10	"B2+"	NA
15	"essay_b4367b3fde2fafd3"	"prompt_9975b4bd24cfacd8"	"user_49e44929bd7f9a27"	"Polish"	"first"	"train"	FALSE	33	"A2+"	NA
16	"essay_52d03e73ad47d8b5"	"prompt_91626718bd3e657e"	"user_1775c1f82609017a"	"Vietnamese"	"first"	"train"	FALSE	37	"A1"	NA
17	"essay_5010eecc73547fbe"	"prompt_40037060180c75db"	"user_4610dee3b9717c88"	"Spanish"	"first"	"train"	FALSE	5	"A2+"	NA
18	"essay_6794fb750b99bb44"	"prompt_a48191f7b89e3523"	"user_79b0f40c5e557095"	"Japanese"	"first"	"train"	FALSE	13	"B2+"	NA
19	"essay_38e09f53f7ff9f3d"	"prompt_13020c2a757e39d5"	"user_2e3a93eb5b9339be"	"Arabic"	"first"	"train"	FALSE	36	"B1"	NA
20	"essay_b9448390a39db37f"	"prompt_719435a48902a4b5"	"user_49e44929bd7f9a27"	"Polish"	"first"	"train"	FALSE	20	"A2"	NA
21	"essay_47346e0aead11dbc"	"prompt_79d7b6720d30aa96"	"user_1775c1f82609017a"	"Vietnamese"	"first"	"train"	FALSE	22	"A2"	NA
22	"essay_a5da860b75ee2417"	"prompt_7fb0941f7b739572"	"user_1775c1f82609017a"	"Vietnamese"	"first"	"train"	FALSE	26	"A2"	NA
23	"essay_c8d610ff9017458a"	"prompt_40037060180c75db"	"user_1775c1f82609017a"	"Vietnamese"	"first"	"train"	FALSE	33	"A2"	NA
24	"essay_d9b27ede4c9676ad"	"prompt_a48191f7b89e3523"	"user_49e44929bd7f9a27"	"Polish"	"first"	"train"	FALSE	39	"B1"	NA
25	"essay_2910481d85f54b46"	"prompt_4671630d1fa03592"	"user_1775c1f82609017a"	"Vietnamese"	"first"	"train"	FALSE	10	"A2+"	NA
26	"essay_72309b8c73ac6d0e"	"prompt_6e0152cf70e42a3a"	"user_1775c1f82609017a"	"Vietnamese"	"first"	"train"	FALSE	21	"A2"	NA
27	"essay_bd5bd57588830cc1"	"prompt_58852905890136d4"	"user_e48ee201eb41c367"	"Portuguese"	"first"	"train"	FALSE	31	"B1+"	NA
28	"essay_fffab5623f963d87"	"prompt_82f61f70f00cce70"	"user_63b1587f47437e66"	"Turkish"	"first"	"train"	FALSE	27	"B1"	NA
29	"essay_1ec430a03a491ac3"	"prompt_2865cfff040b541d"	"user_5826c9bcebaacb7a"	"Thai"	"first"	"train"	FALSE	35	"B2"	NA
30	"essay_184bf17a7efa42c3"	"prompt_91626718bd3e657e"	"user_13cb72309bd59650"	"Japanese"	"first"	"train"	FALSE	9	"A2+"	NA
31	"essay_304592203663ec1b"	"prompt_305b51299790d8a8"	"user_30e107f263a61611"	"Japanese"	"first"	"train"	FALSE	24	"B1"	NA
32	"essay_500021568545f87e"	"prompt_7fb0941f7b739572"	"user_4610dee3b9717c88"	"Spanish"	"first"	"train"	FALSE	19	"B1"	NA
33	"essay_4a8a7fdacd3c9edb"	"prompt_49f744b86a7de069"	"user_1775c1f82609017a"	"Vietnamese"	"first"	"train"	FALSE	23	"A2"	NA
34	"essay_3e825e112b682553"	"prompt_e3b16d9c3c7b3cc8"	"user_1775c1f82609017a"	"Vietnamese"	"first"	"train"	FALSE	12	"A2"	NA
35	"essay_0b283cd3d772fb1d"	"prompt_e4c497f7613dcf8a"	"user_6e932f51e9ba2869"	"Italian"	"first"	"train"	FALSE	5	"B2+"	NA
36	"essay_bb0658053540d3a9"	"prompt_2ef4e350c1009968"	"user_1775c1f82609017a"	"Vietnamese"	"first"	"train"	FALSE	15	"A2"	NA
37	"essay_8fb4902989480e80"	"prompt_719435a48902a4b5"	"user_1775c1f82609017a"	"Vietnamese"	"first"	"train"	FALSE	12	"A1+"	NA
38	"essay_90e8902bb10657e8"	"prompt_6305e66e9a1bd3db"	"user_4610dee3b9717c88"	"Spanish"	"first"	"train"	FALSE	28	"A2+"	NA
39	"essay_fe805e423394cc90"	"prompt_6e0152cf70e42a3a"	"user_4610dee3b9717c88"	"Spanish"	"first"	"train"	FALSE	14	"B1"	NA
40	"essay_02825f82fff8c858"	"prompt_30d627bea13ce859"	"user_82d94e431e773e68"	"Hindi"	"first"	"train"	FALSE	28	"B2+"	NA
41	"essay_d377680604ffcc02"	"prompt_79d7b6720d30aa96"	"user_13cb72309bd59650"	"Japanese"	"first"	"train"	FALSE	32	"A2+"	NA
42	"essay_a19d5a3164421f07"	"prompt_a48191f7b89e3523"	"user_580797e77d09c9b7"	"German"	"first"	"train"	FALSE	35	"B1"	NA
43	"essay_c0d782ea17d79431"	"prompt_49f744b86a7de069"	"user_4610dee3b9717c88"	"Spanish"	"first"	"train"	FALSE	7	"A2"	NA
44	"essay_236454ca51b65191"	"prompt_58b9f5f522c0a1ba"	"user_1a1358a9ec37dc4f"	"Spanish"	"first"	"train"	FALSE	21	"B1+"	NA
45	"essay_8432573b551d72b3"	"prompt_e3b16d9c3c7b3cc8"	"user_4610dee3b9717c88"	"Spanish"	"first"	"train"	FALSE	12	"A2+"	NA
46	"essay_71a799a9ec6f3f2f"	"prompt_58852905890136d4"	"user_6e932f51e9ba2869"	"Italian"	"first"	"train"	FALSE	25	"B2"	NA
47	"essay_70ecd7a151263a8c"	"prompt_82f61f70f00cce70"	"user_a39b0a5fb4a17bba"	"Turkish"	"first"	"train"	FALSE	51	"B1+"	NA
48	"essay_92c9ec79dd26490c"	"prompt_49f744b86a7de069"	"user_e3ffa19b436699ce"	"Dutch"	"first"	"train"	FALSE	13	"A2+"	NA
49	"essay_d47f9294edb178a1"	"prompt_91626718bd3e657e"	"user_de6de921b320d545"	"Spanish"	"first"	"train"	FALSE	12	"A2+"	NA
50	"essay_d8b4f89737ce0f78"	"prompt_e4c497f7613dcf8a"	"user_6c60e1544c3d7807"	"Arabic"	"first"	"train"	FALSE	56	"B1"	NA
51	"essay_d47092673804f4dc"	"prompt_7fb0941f7b739572"	"user_13cb72309bd59650"	"Japanese"	"first"	"train"	FALSE	5	"A2+"	NA
52	"essay_32cfcee17868193e"	"prompt_40037060180c75db"	"user_13cb72309bd59650"	"Japanese"	"first"	"train"	FALSE	4	"A2+"	NA
53	"essay_1adf008bf8f3051f"	"prompt_2ef4e350c1009968"	"user_04b784f208eadf5c"	"Dutch"	"first"	"train"	FALSE	3	"A2+"	NA
54	"essay_77dcc5b793b1accf"	"prompt_91626718bd3e657e"	"user_a1543e1377c34be6"	"Arabic"	"first"	"train"	FALSE	27	"A2"	NA
55	"essay_d4e408d1652f340a"	"prompt_58852905890136d4"	"user_6c60e1544c3d7807"	"Arabic"	"first"	"train"	FALSE	56	"B2"	NA
56	"essay_1ea8908e028863a8"	"prompt_98e191fa5bded725"	"user_04b784f208eadf5c"	"Dutch"	"first"	"train"	FALSE	9	"A2+"	NA
57	"essay_5f7492d4d6e9336c"	"prompt_82f61f70f00cce70"	"user_5bf7d61374db6649"	"German"	"first"	"train"	FALSE	26	"B1"	NA
58	"essay_9578cac27415ff92"	"prompt_de206ba1795e8dc5"	"user_79b0f40c5e557095"	"Japanese"	"first"	"train"	FALSE	9	"B2+"	NA
59	"essay_01036fbac5835626"	"prompt_de206ba1795e8dc5"	"user_396171f1c1a1d8fa"	"German"	"first"	"train"	FALSE	13	"B2"	NA
60	"essay_ea7b2dcf1a969e45"	"prompt_4671630d1fa03592"	"user_13cb72309bd59650"	"Japanese"	"first"	"train"	FALSE	9	"A2+"	NA
61	"essay_add58b634039bbc8"	"prompt_e3b16d9c3c7b3cc8"	"user_e03d332f4dd621e1"	"Spanish"	"first"	"train"	FALSE	5	"B1"	NA
62	"essay_490e31ddb0ccfa60"	"prompt_91626718bd3e657e"	"user_29447e6c905ccffe"	"Spanish"	"first"	"train"	FALSE	20	"A1+"	NA
63	"essay_45bf4f4b10ea8f23"	"prompt_79d7b6720d30aa96"	"user_29447e6c905ccffe"	"Spanish"	"first"	"train"	FALSE	13	"B1+"	NA
64	"essay_015a0611e41e7613"	"prompt_6e0152cf70e42a3a"	"user_13cb72309bd59650"	"Japanese"	"first"	"train"	FALSE	14	"A2"	NA
65	"essay_c0537483d0ceb532"	"prompt_179938ed5e90b50a"	"user_6e932f51e9ba2869"	"Italian"	"first"	"train"	FALSE	8	"B2+"	NA
66	"essay_3031eee13a3be415"	"prompt_4671630d1fa03592"	"user_29447e6c905ccffe"	"Spanish"	"first"	"train"	FALSE	5	"A2+"	NA
67	"essay_9367b8b09685f15c"	"prompt_7fb0941f7b739572"	"user_29447e6c905ccffe"	"Spanish"	"first"	"train"	FALSE	16	"B1+"	NA
68	"essay_82cddd0eb260e385"	"prompt_58b9f5f522c0a1ba"	"user_79b0f40c5e557095"	"Japanese"	"first"	"train"	FALSE	17	"C1"	NA
69	"essay_5e61762fd8e79eb9"	"prompt_40037060180c75db"	"user_29447e6c905ccffe"	"Spanish"	"first"	"train"	FALSE	5	"A2+"	NA
70	"essay_9c3d046625785a06"	"prompt_6e0152cf70e42a3a"	"user_29447e6c905ccffe"	"Spanish"	"first"	"train"	FALSE	18	"B1"	NA
71	"essay_04152cc7a92e2d62"	"prompt_e4c497f7613dcf8a"	"user_67f16ac28e1c26ab"	"Arabic"	"first"	"train"	FALSE	29	"B1"	NA
72	"essay_c9d695b6adbc7937"	"prompt_6305e66e9a1bd3db"	"user_29447e6c905ccffe"	"Spanish"	"first"	"train"	FALSE	11	"B1+"	NA
73	"essay_9b20f112c8668fc2"	"prompt_179938ed5e90b50a"	"user_6c60e1544c3d7807"	"Arabic"	"first"	"train"	FALSE	54	"B1"	NA
74	"essay_f085d1189a19ffff"	"prompt_d3e35405e2378ac9"	"user_79b0f40c5e557095"	"Japanese"	"first"	"train"	FALSE	5	"C1"	NA
75	"essay_6e7e2f769e9ab257"	"prompt_49f744b86a7de069"	"user_29447e6c905ccffe"	"Spanish"	"first"	"train"	FALSE	15	"A2+"	NA
76	"essay_372216a8361a303c"	"prompt_49f744b86a7de069"	"user_9d0bea4e137cbe16"	"German"	"first"	"train"	FALSE	3	"A2"	NA
77	"essay_e60ab9cac250296b"	"prompt_6305e66e9a1bd3db"	"user_13cb72309bd59650"	"Japanese"	"first"	"train"	FALSE	16	"A2+"	NA
78	"essay_972287330bbf00ef"	"prompt_58852905890136d4"	"user_8e79bfbfce28d2d9"	"Italian"	"first"	"train"	FALSE	39	"A2+"	NA
79	"essay_acdb2596bb6caae3"	"prompt_046678dfe42e3068"	"user_988d09923a575616"	"Hindi"	"first"	"train"	FALSE	40	"A2+"	NA
80	"essay_aa32b46096194ba7"	"prompt_13020c2a757e39d5"	"user_951184840a8ea8a9"	"Hindi"	"first"	"train"	FALSE	27	"B2+"	NA
81	"essay_16848e4bce20e982"	"prompt_de206ba1795e8dc5"	"user_5bf7d61374db6649"	"German"	"first"	"train"	FALSE	28	"B1+"	NA
82	"essay_22a92ea7fc0378cd"	"prompt_6e0152cf70e42a3a"	"user_309b69e23ff98c19"	"Dutch"	"first"	"train"	FALSE	19	"B1+"	NA
83	"essay_79fe2edb4f863312"	"prompt_49f744b86a7de069"	"user_13cb72309bd59650"	"Japanese"	"first"	"train"	FALSE	13	"A2+"	NA
84	"essay_0edc4277ac0e5aca"	"prompt_6e0152cf70e42a3a"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	20	"A2"	NA
